Complaint ID,Date,Zone,Service,Channel,Issue Category,Priority,Resolution Days,Satisfaction (1-5),Status,Within 7 Days,Month
CC-1001,2026-01-01 0:00:00,South,Public Health,Walk-in,Billing,Low,5.6,4.3,Resolved,Yes,Jan-2026
CC-1002,2026-01-01 18:04:31,East,Streetlight,Walk-in,Staff Behaviour,Medium,4.1,3.9,Resolved,Yes,Jan-2026
CC-1003,2026-01-02 12:09:02,West,Waste Collection,Mobile App,Incorrect Information,Medium,1.2,4.1,Resolved,Yes,Jan-2026
CC-1004,2026-01-03 6:13:33,North,Public Health,Service Center,Billing,Medium,7.2,3.6,Escalated,No,Jan-2026
CC-1005,2026-01-04 0:18:05,North,Water Supply,Service Center,Billing,Low,2.4,4.2,Resolved,Yes,Jan-2026
CC-1006,2026-01-04 18:22:36,Central,Road Repair,Mobile App,Billing,Low,11.2,3,Escalated,No,Jan-2026
CC-1007,2026-01-05 12:27:07,East,Waste Collection,Walk-in,Billing,Medium,8.4,2.5,Escalated,No,Jan-2026
CC-1008,2026-01-06 6:31:38,East,Waste Collection,Walk-in,Poor Service,Medium,5.6,4.4,Resolved,Yes,Jan-2026
CC-1009,2026-01-07 0:36:09,Central,Public Health,Service Center,Poor Service,Medium,6,3.6,Resolved,Yes,Jan-2026
CC-1010,2026-01-07 18:40:40,West,Income Certificate,Helpline,Incorrect Information,Low,5.2,4.8,Resolved,Yes,Jan-2026
CC-1011,2026-01-08 12:45:11,East,Water Supply,Mobile App,Delay,Medium,9.6,3.1,Escalated,No,Jan-2026
CC-1012,2026-01-09 6:49:42,North,Public Health,Service Center,Billing,Medium,10.5,3.1,Escalated,No,Jan-2026
CC-1013,2026-01-10 0:54:14,North,Water Supply,Service Center,Staff Behaviour,Low,3.8,4.3,Resolved,Yes,Jan-2026
CC-1014,2026-01-10 18:58:45,South,Water Supply,Mobile App,Delay,Medium,7.1,3.3,Escalated,No,Jan-2026
CC-1015,2026-01-11 13:03:16,East,Road Repair,Walk-in,Staff Behaviour,Low,9.7,4.9,Escalated,No,Jan-2026
CC-1016,2026-01-12 7:07:47,West,Waste Collection,Mobile App,Delay,Low,5.8,3.7,Resolved,Yes,Jan-2026
CC-1017,2026-01-13 1:12:18,Central,Streetlight,Helpline,Incorrect Information,Urgent,5.8,4.6,Resolved,Yes,Jan-2026
CC-1018,2026-01-13 19:16:49,Central,Road Repair,Website,Billing,Medium,4.8,3.5,Resolved,Yes,Jan-2026
CC-1019,2026-01-14 13:21:20,West,Road Repair,Mobile App,Billing,High,9.2,3.6,Escalated,No,Jan-2026
CC-1020,2026-01-15 7:25:51,South,Water Supply,Walk-in,Infrastructure,Low,6.4,4.2,Resolved,Yes,Jan-2026
CC-1021,2026-01-16 1:30:23,Central,Property Tax,Walk-in,Staff Behaviour,Medium,1,5,Resolved,Yes,Jan-2026
CC-1022,2026-01-16 19:34:54,East,Waste Collection,Mobile App,Delay,High,5.3,3.8,Resolved,Yes,Jan-2026
CC-1023,2026-01-17 13:39:25,South,Income Certificate,Helpline,Delay,Medium,1,4.8,Resolved,Yes,Jan-2026
CC-1024,2026-01-18 7:43:56,East,Road Repair,Mobile App,Poor Service,Medium,8.2,3.3,Escalated,No,Jan-2026
CC-1025,2026-01-19 1:48:27,North,Streetlight,Mobile App,Infrastructure,Medium,8,5,Escalated,No,Jan-2026
CC-1026,2026-01-19 19:52:58,South,Property Tax,Service Center,Poor Service,Medium,1.1,5,Resolved,Yes,Jan-2026
CC-1027,2026-01-20 13:57:29,Central,Property Tax,Helpline,Poor Service,High,4.3,4.7,Resolved,Yes,Jan-2026
CC-1028,2026-01-21 8:02:01,South,Income Certificate,Helpline,Poor Service,High,1,5,Resolved,Yes,Jan-2026
